"title","title_type","directors","imdb_rating","runtime","year","genres","num_votes","rel_date","url","id","title_rt","year_rt","genre_rt","mpaa_rating","runtime_rt","critics_rating","critics_score","audience_rating","audience_score","actor1","actor2","actor3","actor4","actor5","director_rt","studio","link"
"The Return","Feature Film","Asif Kapadia",4.8,85,"2006","mystery, thriller",9667,"2006-11-10","http://www.imdb.com/title/tt0433442/","0433442","The Return",2006,"Mystery & Suspense","PG-13","85","Rotten",16,"Spilled",32,"Sarah Michelle Gellar","Sam Shepard","Darrian McClanahan","J.C. MacKenzie","Adam Scott","Asif Kapadia","Focus Features","http://www.rottentomatoes.com/m/return/"
"East of Eden","Feature Film","Gary Ross",NA,NA,"????","drama",NA,"","http://www.imdb.com/title/tt0419717/","0419717","East of Eden",2015,"Drama","Unrated","",NA,-1,NA,75,"Jennifer Lawrence",NA,NA,NA,NA,"Gary Ross",NA,"http://www.rottentomatoes.com/m/east_of_eden_2015/"
"Killers","Feature Film","Robert Luketic",5.4,100,"2010","action, comedy, romance, thriller",65055,"2010-06-01","http://www.imdb.com/title/tt1103153/","1103153","Killers",2010,"Action & Adventure","PG-13","100","Rotten",11,"Spilled",41,"Ashton Kutcher","Katherine Heigl","Tom Selleck","Catherine O'Hara","Katheryn Winnick","Robert Luketic","Lionsgate Films","http://www.rottentomatoes.com/m/killers_2010/"
"The Tournament","Feature Film","Scott Mann",6.1,95,"2009","action, thriller",28789,"2009-08-19","http://www.imdb.com/title/tt0471041/","0471041","The Tournament",2009,"Mystery & Suspense","R","95",NA,-1,"Spilled",40,"Robert Carlyle","Ving Rhames","Kelly Hu","Ian Somerhalder","Liam Cunningham","Scott Mann","The Weinstein Co.","http://www.rottentomatoes.com/m/1218133-tournament/"
"The Dead Pool","Feature Film","Buddy Van Horn",6.3,91,"1988","action, crime, mystery, thriller",27320,"1988-07-13","http://www.imdb.com/title/tt0094963/","0094963","The Dead Pool",1988,"Drama","R","92","Rotten",52,"Spilled",45,"Clint Eastwood","Patricia Clarkson","Liam Neeson","Evan C. Kim","David Hunt","Buddy Van Horn","Warner Home Video","http://www.rottentomatoes.com/m/dead_pool/"
"I'll Be Home for Christmas","Feature Film","Arlene Sanford",5.3,86,"1998","comedy, family",5909,"1998-11-13","http://www.imdb.com/title/tt0155753/","0155753","I'll Be Home for Christmas",1998,"Comedy","PG","85","Rotten",23,"Spilled",41,"Jonathan Taylor Thomas","Jessica Biel","Adam LaVorgna","Gary Cole","Eve Gordon","Arlene Sanford","Buena Vista Pictures","http://www.rottentomatoes.com/m/1088110-ill_be_home_for_christmas/"
"Riding in Cars with Boys","Feature Film","Penny Marshall",6.5,132,"2001","biography, comedy, drama",21095,"2001-10-19","http://www.imdb.com/title/tt0200027/","0200027","Riding in Cars With Boys",2001,"Drama","PG-13","131","Rotten",49,"Upright",67,"Drew Barrymore","Steve Zahn","Adam Garcia","Brittany Murphy","James Woods","Penny Marshall","Columbia Pictures","http://www.rottentomatoes.com/m/riding_in_cars_with_boys/"
"Spaced Invaders","Feature Film","Patrick Read Johnson",5.3,100,"1990","adventure, comedy, sci_fi",2362,"1990-04-27","http://www.imdb.com/title/tt0100666/","0100666","Spaced Invaders",1990,"Science Fiction & Fantasy","PG","102","Rotten",8,"Spilled",51,"Doug Barr","Royal Dano","Ariana Richards","J.J. Anderson","Gregg Berger","Patrick Read Johnson",NA,"http://www.rottentomatoes.com/m/spaced_invaders/"
"Girls Just Want to Have Fun","Feature Film","Alan Metter",5.9,90,"1985","comedy, music, romance",7029,"1985-04-12","http://www.imdb.com/title/tt0089208/","0089208","Girls Just Want to Have Fun",1985,"Comedy","PG","90","Rotten",38,"Upright",78,"Sarah Jessica Parker","Lee H. Montgomery","Morgan Woodward","Jonathan Silverman","Helen Hunt","Alan Metter","New World Video","http://www.rottentomatoes.com/m/girls_just_want_to_have_fun/"
"Pompeii: The Last Day","TV Movie","Peter Nicholson",7.2,120,"2003","drama, history",693,"2003-10-20","http://www.imdb.com/title/tt0369838/","0369838","Pompeii: The Last Day",2003,"Documentary","Unrated","120",NA,-1,"Upright",62,"Tim Pigott-Smith","Jim Carter","Jonathan Firth","Rebecca Clarke","Inika Leigh Wright","Peter Nicholson",NA,"http://www.rottentomatoes.com/m/pompeii-the-last-day/"
"Victory at Entebbe","TV Movie","Marvin J. Chomsky",6.1,119,"1976","action, drama, history, thriller",679,"1976-12-13","http://www.imdb.com/title/tt0075391/","0075391","Victory at Entebbe",1976,"Drama","Unrated","119",NA,-1,"Spilled",53,"Burt Lancaster","David Groh","Anthony Hopkins","Jessica Walter","Helen Hayes","Marvin J. Chomsky",NA,"http://www.rottentomatoes.com/m/victory_at_entebbe/"
"Jason Becker: Not Dead Yet","Documentary","Jesse Vile",8.1,87,"2012","documentary, biography, music",911,"2012-03-03","http://www.imdb.com/title/tt2120779/","2120779","Jason Becker: Not Dead Yet",2012,"Musical & Performing Arts","Unrated","90","Fresh",83,"Upright",87,"Jason Becker","Ehren Becker","Gary Becker","Pat Becker","Ron Becker","Jesse Vile","Kino Lorber Films","http://www.rottentomatoes.com/m/jason_becker_not_dead_yet/"
"Mr. Harvey Lights a Candle","TV Movie","Susanna White",7.6,85,"2005","drama",211,"2005-03-26","http://www.imdb.com/title/tt0436608/","0436608","Mr Harvey Lights a Candle",2005,"Drama","Unrated","85",NA,-1,"Upright",86,"Daniel Bliss","Timothy Spall","Natalie Press","Ben Miles","David Bradley","Susanna White",NA,"http://www.rottentomatoes.com/m/mr-harvey-lights-a-candle/"
"Fandango","Feature Film","Kevin Reynolds",6.6,91,"1985","comedy, drama",5791,"1985-01-25","http://www.imdb.com/title/tt0089126/","0089126","Fandango",1985,"Drama","PG","91","Rotten",50,"Upright",78,"Kevin Costner","Judd Nelson","Sam Robards","Chuck Bush","Brian Cesak","Kevin Reynolds","Warner Home Video","http://www.rottentomatoes.com/m/1007073-fandango/"
"Coma","Feature Film","Michael Crichton",6.8,113,"1978","drama, mystery, thriller",11982,"1978-01-06","http://www.imdb.com/title/tt0077355/","0077355","Coma",1978,"Mystery & Suspense","PG","113","Fresh",79,"Upright",65,"Genevieve Bujold","Michael Douglas","Richard Widmark","Elizabeth Ashley","Rip Torn","Michael Crichton","WARNER BROTHERS PICTURES","http://www.rottentomatoes.com/m/1004502-coma/"
"Mom at Sixteen","TV Movie","Peter Werner",6.9,88,"2005","drama",2072,"2005-03-21","http://www.imdb.com/title/tt0438123/","0438123","Mom at Sixteen",2005,"Drama","PG-13","120",NA,-1,"Upright",80,"Danielle Panabaker","Jane Krakowski","Clare Stone","Tyler Hynes","Colin Ferguson","Peter Werner","Unknown","http://www.rottentomatoes.com/m/mom-at-sixteentoo-young-to-be-a-dad/"
"A Home of Our Own","Feature Film","Tony Bill",7,104,"1993","biography, drama",2041,"1993-11-05","http://www.imdb.com/title/tt0107130/","0107130","A Home of Our Own",1993,"Drama","PG","105","Rotten",45,"Upright",74,"Kathy Bates","Edward Furlong","Soon-Teck Oh","Tony Campisi","Clarissa Lassig","Tony Bill","PolyGram Video","http://www.rottentomatoes.com/m/1046076-home_of_our_own/"
