"position","const","created","modified","description","Title","Title.type","Directors","ForPeopleNotSheeple.rated","IMDb.Rating","Runtime..mins.","Year","Genres","Num..Votes","Release.Date..month.day.year.","URL","id"
8218,"tt0325710","Mon Apr 29 18:16:30 2013","Mon Apr 29 18:16:30 2013","","The Last Samurai","Feature Film","Edward Zwick",6,7.7,154,"2003","action, drama, history, war",277685,"2003-11-22","http://www.imdb.com/title/tt0325710/","0325710"
2741,"tt0259288","Mon Apr 22 18:31:48 2013","Mon Apr 22 18:31:48 2013","","Dragonfly","Feature Film","Tom Shadyac",NA,6,104,"2002","drama, fantasy, mystery, romance, thriller",29679,"2002-02-18","http://www.imdb.com/title/tt0259288/","0259288"
6367,"tt0094783","Mon Apr 22 18:42:41 2013","Mon Apr 22 18:42:41 2013","","The Boost","Feature Film","Harold Becker",NA,6,95,"1988","drama, romance",1416,"1988-12-23","http://www.imdb.com/title/tt0094783/","0094783"
1204,"tt1935902","Mon Apr 22 18:27:29 2013","Mon Apr 22 18:27:29 2013","","The Brass Teapot","Feature Film","Ramaa Mosley",NA,6.4,101,"2012","comedy, fantasy, thriller",9748,"2012-09-08","http://www.imdb.com/title/tt1935902/","1935902"
7575,"tt0073901","Thu Apr 25 03:01:33 2013","Thu Apr 25 03:01:33 2013","","The Wilby Conspiracy","Feature Film","Ralph Nelson",NA,6.4,105,"1975","action, adventure, drama, thriller",1009,"1975-02-13","http://www.imdb.com/title/tt0073901/","0073901"
1867,"tt0090859","Mon Apr 22 18:29:30 2013","Mon Apr 22 18:29:30 2013","","Cobra","Feature Film","George P. Cosmatos",NA,5.6,87,"1986","action, crime, horror, thriller",42157,"1986-05-23","http://www.imdb.com/title/tt0090859/","0090859"
7353,"tt0205461","Thu Apr 25 03:00:32 2013","Thu Apr 25 03:00:32 2013","","Thomas and the Magic Railroad","Feature Film","Britt Allcroft",NA,3.5,85,"2000","adventure, comedy, drama, family, fantasy",2610,"2000-07-14","http://www.imdb.com/title/tt0205461/","0205461"
2601,"tt1231277","Mon Apr 22 18:31:22 2013","Mon Apr 22 18:31:22 2013","","S. Darko","Feature Film","Chris Fisher",NA,3.7,103,"2009","mystery, sci_fi, thriller",10632,"2009-05-12","http://www.imdb.com/title/tt1231277/","1231277"
9338,"tt0181201","Mon Apr 29 19:24:54 2013","Mon Apr 29 19:24:54 2013","","The Blonde Bombshell","TV Movie","Robert Bierman",NA,7.4,200,"1999","biography, drama",79,"1999-04-26","http://www.imdb.com/title/tt0181201/","0181201"
9228,"tt1101637","Mon Apr 29 19:24:20 2013","Mon Apr 29 19:24:20 2013","","The Beckoning Silence","TV Movie","Louise Osmond",NA,7.7,75,"2007","drama",515,"2007-10-22","http://www.imdb.com/title/tt1101637/","1101637"
8140,"tt0230512","Mon Apr 29 17:39:47 2013","Mon Apr 29 17:39:47 2013","","Mayor of the Sunset Strip","Documentary","George Hickenlooper",NA,7.1,94,"2003","documentary, biography, music",1239,"2003-06-17","http://www.imdb.com/title/tt0230512/","0230512"
6483,"tt0088395","Mon Apr 22 18:43:10 2013","Mon Apr 22 18:43:10 2013","","Where the Boys Are","Feature Film","Hy Averback",NA,3.1,94,"1984","comedy",588,"1984-04-06","http://www.imdb.com/title/tt0088395/","0088395"
