"vote","team"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","Duke"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","UNC"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","NC State"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
